DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P3272;P3273S1;P3273S2;P3273S4;P3273S5;P3273S6;P3274;P3275S1;P3275S2;P3275S4;P3275S5;P3275S6;P3275S7;P3275S8;P3275S9;P3275S10;P3276;P3277S1;P3277S2;P3277S3;P3277S4;P3277S5;P3277S6;P3277S7;P3277S8;P3277S9;P3277S10;P3277S11;P3277S12;P3277S13;P3278;P3279S1;P3279S2;P3279S3;P3279S4;P3279S5;P3279S6;P3280S1;P3280S2;P3280S3;P3280S4;P3280S5;P3280S6;P3280S7;P3280S8;P3280S9;P3280S10;P3280S11;P3281;P3282;P3283S1;P3283S2;P3283S3;P3283S4;P3283S5;P3283S6;P3283S7;P3283S8;P3283S9;P3283S10;P3283S11;P3283S12;P3283S13;P3284S1;P3284S2;P3284S3;P3284S4;P3284S5;P3285;P3286;P3287S1;P3287S2;P3287S3;P3287S4;P3504;P3288;P3289;P3290;P3291;P3291S1;P3292S1;P3292S2;P3292S3;P3292S4;P3292S5;P3292S6;P3292S7;P3292S8;P3292S9;P3292S10;P3292S11;P3293S1;P3293S2;P3293S3;P3293S4;P3293S5;P3293S6;P3293S7;P3293S8;P3293S9;P3294S1;P3294S2;P3294S3;P3294S4;P3294S5;P3294S6;P3294S7;P3294S8;P3294S9;P3294S10;P3294S11;P3294S12;P3295;P3296;P3297;P3298;P3299;P3300;P3301
610748;237;2;1;2;193.52396721;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;;;;6;1;2;;;;;;1;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;10
610841;237;1;1;1;158.51960356;1;;;;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;7;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;12
610849;237;1;1;1;150.24341432;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;8;4;;500000;500000;;;;;;;;;;2;;;;;;;;;;2;1;;;;;1;1;;;;;;2;;;;;;1
610943;237;2;1;2;208.49583244;2;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;2;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;1;;;;;;2;;;;;;6
611052;237;1;1;1;481.84349657;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;12;7;;3200000;3200000;;;;;;;;;;2;;;;;;;;;;2;1;;;;;;;1;;;;;1;4;;2;;;
611175;237;3;1;3;653.50980494;1;1;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;;;;;;;;;;;;2;;;;;;1;;;;;;;;;;;;;;;2;;2;;;;;;6
611189;237;1;1;1;1101.774527;1;;1;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;2;2;;;1;;;;1;;;;;;;;1;;1;;;;;;;;1;;1;;;;;;;;2;;;;;;3
611251;237;3;1;3;858.88990293;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;7;2;;;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;1
611256;237;1;1;1;881.41962156;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;1;;;1;;1;;;;;;;;;7;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
611257;237;1;1;1;584.55461886;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;1;;;;;1;;;;;;;;;;;1;;;;;;;;1;;;;;;;;2;;;;;;6
611257;237;2;1;2;584.55461886;1;;1;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;7;2;;;1;1;1;1;;;;1;;;;;;;;1;;;;;;1;;1;;;;;;;;;2;;;;;;2
611269;237;2;1;2;1063.5532873;2;;;;;;;;;;;;;;;;9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2;2;;;;;;;;;;;;2;;;;;;;;;;2;;;1;;;;;;;;;;1;3;1;3;1;;
611274;237;1;1;1;1635.2890402;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;7;2;;;1;1;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;2;;;;;;1
611280;237;1;1;1;1257.3133361;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;1;;;;;;;;;;;;;1;;;;;;;;;;;;3;1;2;;;;1;;;;;;;;;;;;;;;;;;2;1;;;;;1;;;;;;;2;;;;;;11
611293;237;2;1;2;1952.1973486;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;5;7;;99;99;1;;;1;;;;;;;;;;;;;;;;2;;;;;;;;;;;;9;2;;;;;;3
611373;237;1;1;1;21.641984808;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;3;2;;;;;;;;;;;;;9;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;1
611390;237;2;1;2;5665.5711318;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;12;2;;9000000;9000000;;;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;1;2;1;5;1;;
611397;237;2;1;2;5107.3381839;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;1;2;;;1;1;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
611475;237;3;1;3;71.294918982;2;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;7;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
611475;237;4;1;4;71.294918982;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;7;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;3
611480;237;3;1;3;89.56090544;2;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;4;2;;;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;1;;;2;;;;;;3
611505;237;2;1;2;59.208569892;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;4;2;;;;;;;;;;;;2;;;;;;;;;;2;;;1;;;;;;;;;;2;;;;;;3
611520;237;2;1;2;81.182783559;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;6;7;;2000000;2000000;;;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;1;2;2;2;2;3;
611530;237;2;1;2;81.182783559;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;1;;99;99;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
611565;237;1;1;1;75.040126901;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;1;;1;;;;;;;;;;;;3;7;2;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;2;;2;;;;;;4
611565;237;2;1;2;75.040126901;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;3;2;;1000000;1000000;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;3
611566;237;1;1;1;82.524593631;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;9;8;;3200000;3200000;;;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;7
611579;237;1;1;1;139.01242811;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;2;2;;;1;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;2;;;;;;6
611610;237;1;1;1;111.20994249;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;1;800000;800000;1;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;1;4;;3;;;
611630;237;4;1;4;82.62978772;1;;;;1;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;;9;1;2;2;2;2;1;
611633;237;1;1;1;115.84369009;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
611661;237;3;1;3;440.26045081;1;;1;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
611667;237;2;1;2;1150.1859053;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;1
611682;237;4;1;4;94.317418535;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;3;2;;;;;1;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;2;;;;;;3
611814;237;3;1;3;117.89109662;2;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;1;2;;;1;;;;;;;;;;;;;;;;;;;2;;;;;;1;;;;;;;2;;;;;;6
611893;237;2;1;2;87.10319738;1;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;1;2;;;;;;1;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;2;;;;;;1
611918;237;1;1;1;100.64281473;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;1;9;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
611923;237;1;1;1;102.02511321;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;7;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
611940;237;3;1;3;112.25045166;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
611950;237;2;1;2;93.35192259;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;2;;;;;;1;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
611951;237;2;1;2;104.31620122;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;10;1;;500000;500000;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;3
611986;237;3;1;3;86.455878776;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;1;1000000;1000000;;1;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;1;4;;1;;;
612013;237;2;1;2;1472.0388962;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;2;2;;;1;1;1;1;;;;;;;;1;;;;1;;;;;;;;;;;;;;;2;;1;2;2;4;2;3;
612134;237;2;1;2;119.79147339;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;1;;;;;;;;;;;;;;9;;;;;;;;6;1;2;;;;1;;;;;;;;;;;;;;;;;;2;;;;;;1;;;;;;;2;;;;;;6
612180;237;2;1;2;310.91826888;1;1;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;1;2;;;;1;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;12
612180;237;3;1;3;310.91826888;1;;1;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;1;2;;;;1;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;2;;;;;;6
612233;237;1;1;1;353.77819816;2;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;1;2;;;;1;;;;;;;;;;;;;;;;;;2;;;;1;;;;;;;;;1;2;1;4;1;;
612236;237;3;1;3;470.93088029;2;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;;;;1;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;1;4;;4;;;
612236;237;1;1;1;470.93088029;2;;;;;;;;;;;;;;;;1;;1;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2;2;;;;1;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;1;4;;4;;;
612246;237;2;1;2;351.3792837;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;2;9;;99;99;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;3
612253;237;1;1;1;315.59097276;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;3;2;;;1;;;;;;;;;;;;;;;;;;;2;;;;;;1;;;;;;;1;2;2;1;1;;
612257;237;1;1;1;346.07554152;1;;;1;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;2;2;;;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;1
612399;237;2;1;2;59.323711141;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;;;;;;;;;;;1;1;;;;;;;;;;12;4;2;;;1;1;;1;;;1;;;;;;;;;;;;;2;;1;;;;;;;;;;;2;;;;;;3
612404;237;3;1;3;61.81372552;1;;1;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;7;2;;;;1;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
612406;237;1;1;1;46.492316342;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;2;7;;500000;500000;;;;1;;;;;;;;;;;;;;;;2;1;;1;;;;;1;;;;;1;2;1;4;1;;
612413;237;3;1;3;40.741747892;2;;;;;;;;;;;;;;;;1;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;6;2;;;1;;;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;2;;2;;;;;;8
612417;237;2;1;2;68.756131881;2;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1;2;;;;1;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;3
612419;237;3;1;3;48.969033717;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;2;;;1;;;;;;;;;;5;3;2;;;;1;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;2;;;;;;3
612436;237;1;1;1;41.914817558;2;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;1;2;;;;;;;;;;;;2;;;;;;1;;;;;;1;;;;;;;;;;;2;;;;;;3
612440;237;1;1;1;60.271078482;2;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;1;2;;;1;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;2;;1;2;2;3;1;;
612445;237;1;1;1;65.081814644;1;1;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;50000;50000;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;1
612467;237;2;1;2;57.477086625;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;7;2;;99;99;1;;;;;;;;;;;;;;;;;;;2;1;;;;;;;1;;;;;2;;;;;;3
612467;237;5;1;5;57.477086625;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;1;2;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;1;;;;1;;;1;4;;4;;3;
612495;237;2;1;2;53.347689285;1;1;1;1;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;2;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2;;2;;;;;;3
612503;237;1;1;1;53.574291984;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;1;;;;;;;;;;;;1;;;;;;;;;;8;7;2;;;1;;1;;;;;;;;;;;;;;;;;2;;;;;;1;;;;;;;2;;;;;;3
612504;237;2;1;2;48.098420025;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;6;2;;;1;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;2;;2;;;;;;1
612521;237;1;1;1;50.079344932;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;;1;;;;;;;;;;;;;;9;;;;;;;;5;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
612541;237;1;1;1;1338.1473136;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;7;2;;;;;;1;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;1;2;2;3;2;3;
612547;237;2;1;2;1620.0501534;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;2;2;;;;;;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;2;;2;;;;;;6
612550;237;3;1;3;1831.3297744;1;1;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;2;;;;1;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
612562;237;1;1;1;2254.4177996;2;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;2;;;1;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;2;;2;;;;;;3
612639;237;1;1;1;1949.9115044;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;1;;1;;;1;1;1;1;1;1;;;;1;;;;;;;;;;;2;9;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;1;;;;;;;1;4;;4;;1;
612661;237;1;1;1;59.992913024;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;2;;;1;1;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;2;;;;;;6
612664;237;2;1;2;114.6610417;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;7;2;;;;;;;;;;;;2;;;;;1;;;;;;;;;;;;;;;;2;;2;;;;;;6
612664;237;3;1;3;114.6610417;1;1;1;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;6;2;;;;;;;;;;;;2;;;1;1;;;;;;;;;;;;;;;;;2;;2;;;;;;6
612678;237;1;1;1;87.290554184;2;;;;;;;;;;;;;;;;1;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2;;;;;;;;;;;;2;;;;;;;1;;;;;;;;;1;;;;;;;2;;;;;;6
612680;237;3;1;3;76.532354997;2;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
612697;237;1;1;1;73.345972858;2;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2;;;;;;1;;;;;;;;;;;;;;;;2;1;;1;;;1;;;1;;;;2;;;;;;4
612702;237;1;1;1;44.994684768;1;1;1;;1;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;5;2;;;1;1;1;;1;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;1;2;2;3;2;4;
612705;237;2;1;2;62.840349902;1;;1;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;1;2;;;;;;1;;;;;;;;1;;;1;;;;;;;;;;;;;;;;2;;2;;;;;;3
612711;237;1;1;1;85.649835081;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;;;;;;1;1;;;1;;;;;;1;;;;;;;;;3;6;2;;;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
612716;237;4;1;4;118.60497689;2;;;;;;;;;;;;;;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;2;2;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;2;;2;;;;;;6
612717;237;2;1;2;110.65729673;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;8;;;;;;;;;;;;1;;;;;;9;;;;;;;;9;1;2;;;;1;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;10
612719;237;1;1;1;85.233016638;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;1;1;;;;;;;;9;;;;;;;;7;6;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;6
612719;237;2;1;2;85.233016638;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;;;;;;;;;1;;;;;;;9;;;;;;;;12;9;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;1;;;;;;2;;;;;;6
612833;237;1;1;1;72.722352731;2;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;1;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;2;;;;;;10
612840;237;3;1;3;86.033625911;1;;1;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;3;2;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;2;;1;4;;4;;1;
612845;237;1;1;1;83.400907214;2;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;1;2;;;;1;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;2;;2;;;;;;3
